system:index,Blue,Elevation,Green,NDBI,NDVI,NIR,NightLights,Population,Red,SWIR,Urban,.geo
0,0.05489749999999999,6,0.03836999999999999,-0.43622133,-0.36086056,0.17936249999999998,0.0,0.4425396,0.38189999999999996,0.07040750000000001,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.293183490099811,6.430275551020153]}"
1,0.08616499999999999,13,0.0777775,-0.3741265,-0.30556005,0.17746499999999998,14.0,2.493943,0.3336375,0.08083000000000001,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.923073018760717,6.452913096179965]}"
2,0.07489000000000001,2,0.0687025,-0.31795964,-0.3288405,0.1290925,31.0,7.568215,0.2555925,0.066805,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.4235244635437025,6.567448294905204]}"
3,0.05015374999999998,14,0.04673000000000001,-0.39591637,-0.3445636,0.07528875000000002,20.0,10.247131,0.1544475,0.03258124999999999,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.61297915696451,6.573107681195157]}"
4,0.05807374999999998,16,0.045685,-0.42433852,-0.3252234,0.15046,0.0,1.4203908,0.29549500000000006,0.06081,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.147925908657685,6.424077175559729]}"
5,0.05847249999999998,11,0.052092499999999986,-0.39558595,-0.2522508,0.14440999999999998,8.0,1.656099,0.24184250000000002,0.0625425,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.6404676046585673,6.626467609071857]}"
6,0.061277499999999985,12,0.055530000000000024,-0.41842526,-0.28733066,0.174,9.0,7.88175,0.314305,0.07134249999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.026558939491286,6.418687283855012]}"
7,0.05321999999999999,23,0.04978250000000001,-0.39208436,-0.20493697,0.1910775,6.0,2.205121,0.2895825,0.08344249999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.886246666393668,6.62431165238997]}"
8,0.148535,7,0.14889249999999998,-0.24605131,-0.16185933,0.22296375000000002,0.0,0.7732969,0.30908,0.13490875,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.22500136003514,6.427850099753031]}"
9,0.09779749999999998,13,0.0831675,-0.34287268,-0.24039625,0.21901749999999998,0.0,0.8719374,0.35764500000000005,0.10717500000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.98757663044235,6.533761471750722]}"
10,0.08826875,11,0.08326375,-0.41586402,-0.35019568,0.16822499999999999,41.0,9.499502,0.34954625,0.06940374999999999,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.2453885427028015,6.480671038459258]}"
11,0.046702499999999994,8,0.03956625,-0.45837763,-0.35100123,0.1509275,0.0,0.8406026,0.31418125,0.056052500000000005,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.836390168125035,6.50923746449426]}"
12,0.06930750000000002,8,0.06812499999999999,-0.3976519,-0.23693737,0.20312249999999998,6.0,0.8234284,0.329265,0.08754,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.997547930096077,6.559632951933365]}"
13,0.08402000000000001,8,0.07649875,-0.3619618,-0.29623607,0.18064125,63.0,141.57954,0.33271625,0.084625,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.3653136331327578,6.581731507922704]}"
14,0.1535125,7,0.19738875,-0.11432015,0.099091426,0.37266,44.0,12.965497,0.30546375000000003,0.29619625,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.531861286808517,6.432970496872512]}"
