system:index,Blue,Elevation,Green,NDBI,NDVI,NIR,NightLights,Red,SWIR,Urban,.geo
0,0.03658249999999999,6,0.0773375,-0.32378143,0.75817287,0.36113750000000006,0.435,0.04967250000000001,0.18447750000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.293183490099811,6.430275551020153]}"
1,0.03006500000000001,13,0.06529249999999998,-0.294196,0.6491936,0.257435,0.78,0.054759999999999975,0.140395,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[2.923073018760717,6.452913096179965]}"
2,0.0446675,2,0.09037250000000002,-0.30803737,0.5122196,0.2598825,3.08,0.0838275,0.13748,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.4235244635437025,6.567448294905204]}"
3,0.008064999999999989,0,0.034822500000000006,0.18211606,-0.11039205,0.023712499999999997,4.315,0.0295975,0.034272499999999984,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.043900998756644,6.476089630510249]}"
4,0.025857500000000005,14,0.060012500000000024,-0.2982465,0.66083974,0.25617,3.785,0.052312499999999984,0.13846999999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.61297915696451,6.573107681195157]}"
5,0.04879249999999999,16,0.09687625,-0.15950459,0.53349364,0.2905175,0.695,0.08837874999999998,0.21058875000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.147925908657685,6.424077175559729]}"
6,0.02530750000000001,11,0.06050749999999999,-0.31377482,0.7179856,0.2747875,2.275,0.045107499999999995,0.14353,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.6404676046585673,6.626467609071857]}"
7,0.046235,0,0.07684249999999998,-0.19768567,-0.08675766,0.06339499999999998,0.92499995,0.07544000000000001,0.04246749999999999,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.097260926633344,6.481479522214966]}"
8,0.040872500000000006,12,0.09551500000000002,-0.34765297,0.65988487,0.364685,1.3,0.07472499999999999,0.17653000000000002,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[3.026558939491286,6.418687283855012]}"
9,0.029418750000000007,0,0.05167999999999999,-0.040610645,0.10282184,0.05478750000000002,0.44,0.04457125000000001,0.05051124999999998,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[4.132564717299241,6.534839450091666]}"
